% %  1. Title of Database: Abalone data
% %
% %  2. Sources:
% %
% %     (a) Original owners of database:
% %  	Marine Resources Division
% %  	Marine Research Laboratories - Taroona
% %  	Department of Primary Industry and Fisheries, Tasmania
% %  	GPO Box 619F, Hobart, Tasmania 7001, Australia
% %  	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
% %
% %     (b) Donor of database:
% %  	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
% %  	Department of Computer Science, University of Tasmania
% %  	GPO Box 252C, Hobart, Tasmania 7001, Australia
% %
% %     (c) Date received: December 1995
% %
% %
% %  3. Past Usage:
% %
% %     Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
% %     thesis, Computer Science Department, University of Tasmania.
% %
% %     -- Test set performance (final 1044 examples, first 3133 used for training):
% %  	24.86% Cascade-Correlation (no hidden nodes)
% %  	26.25% Cascade-Correlation (5 hidden nodes)
% %  	21.5%  C4.5
% %  	 0.0%  Linear Discriminate Analysis
% %  	 3.57% k=5 Nearest Neighbour
% %        (Problem encoded as a classification task)
% %
% %     -- Data set samples are highly overlapped.  Further information is required
% %  	to separate completely using affine combinations.  Other restrictions
% %  	to data set examined.
% %
% %     David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
% %     Dystal and Backpropagation", submitted to the Australian Conference on
% %     Neural Networks (ACNN'96). Data set treated as a 3-category classification
% %     problem (grouping ring classes 1-8, 9 and 10, and 11 on).
% %
% %     -- Test set performance (3133 training, 1044 testing as above):
% %  	64%    Backprop
% %  	55%    Dystal
% %     -- Previous work (Waugh, 1995) on same data set:
% %  	61.40% Cascade-Correlation (no hidden nodes)
% %  	65.61% Cascade-Correlation (5 hidden nodes)
% %  	59.2%  C4.5
% %  	32.57% Linear Discriminate Analysis
% %  	62.46% k=5 Nearest Neighbour
% %
% %
% %  4. Relevant Information Paragraph:
% %
% %     Predicting the age of abalone from physical measurements.  The age of
% %     abalone is determined by cutting the shell through the cone, staining it,
% %     and counting the number of rings through a microscope -- a boring and
% %     time-consuming task.  Other measurements, which are easier to obtain, are
% %     used to predict the age.  Further information, such as weather patterns
% %     and location (hence food availability) may be required to solve the problem.
% %
% %     From the original data examples with missing values were removed (the
% %     majority having the predicted value missing), and the ranges of the
% %     continuous values have been scaled for use with an ANN (by dividing by 200).
% %
% %     Data comes from an original (non-machine-learning) study:
% %
% %  	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
% %  	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
% %  	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
% %  	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
% %  	Report No. 48 (ISSN 1034-3288)
% %
% %
% %  5. Number of Instances: 4177
% %
% %
% %  6. Number of Attributes: 8
% %
% %
% %  7. Attribute information:
% %
% %     Given is the attribute name, attribute type, the measurement unit and a
% %     brief description.  The number of rings is the value to predict: either
% %     as a continuous value or as a classification problem.
% %
% %  	Name		Data Type	Meas.	Description
% %  	----		---------	-----	-----------
% %  	Sex		nominal			M, F, and I (infant)
% %  	Length		continuous	mm	Longest shell measurement
% %  	Diameter	continuous	mm	perpendicular to length
% %  	Height		continuous	mm	with meat in shell
% %  	Whole weight	continuous	grams	whole abalone
% %  	Shucked weight	continuous	grams	weight of meat
% %  	Viscera weight	continuous	grams	gut weight (after bleeding)
% %  	Shell weight	continuous	grams	after being dried
% %  	Rings		integer			+1.5 gives the age in years
% %
% %     Statistics for numeric domains:
% %
% %  		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
% %  	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
% %  	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
% %  	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
% %  	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
% %  	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
% %
% %
% %  8. Missing Attribute Values: None
% %
% %
% %  9. Class Distribution:
% %
% %  	Class	Examples
% %  	-----	--------
% %  	1	1
% %  	2	1
% %  	3	15
% %  	4	57
% %  	5	115
% %  	6	259
% %  	7	391
% %  	8	568
% %  	9	689
% %  	10	634
% %  	11	487
% %  	12	267
% %  	13	203
% %  	14	126
% %  	15	103
% %  	16	67
% %  	17	58
% %  	18	42
% %  	19	32
% %  	20	26
% %  	21	14
% %  	22	6
% %  	23	9
% %  	24	2
% %  	25	1
% %  	26	1
% %  	27	2
% %  	29	1
% %  	-----	----
% %  	Total	4177s
@RELATION abalone

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE V1 {F, I, M}
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE Class {1, 2, 3}

@DATA
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,2
95,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,3
96,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,2
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,1
99,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,2
100,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,1
102,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,3
103,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,2
104,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,3
105,F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,3
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,2
109,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,2
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,2
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,2
114,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,3
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,3
116,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,3
118,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,2
119,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,1
120,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,2
121,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,1
122,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,3
123,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,1
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,1
127,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,1
128,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,3
130,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,3
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,1
133,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,1
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,1
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,1
139,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,2
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,2
141,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,2
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,3
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,3
144,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,2
146,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,2
149,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,1
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,3
151,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,2
152,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,2
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,2
154,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,3
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,2
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,3
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,3
158,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,3
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,3
160,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,3
161,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,3
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,3
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,3
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,3
168,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,3
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,3
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,3
172,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,1
173,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,1
174,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,1
175,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,1
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,1
177,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,1
178,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,1
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,3
180,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,3
183,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,2
184,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,3
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,3
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,3
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,2
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,3
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,2
190,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,3
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,3
192,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,3
194,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,2
195,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,3
196,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,3
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,3
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,3
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,2
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,2
202,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,3
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,3
205,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,2
206,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,2
207,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,1
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,3
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,1
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,2
211,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,1
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,3
213,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,2
214,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,3
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,1
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,1
218,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,2
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,1
220,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,2
221,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,3
222,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,2
225,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,2
226,F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,1
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,1
229,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,3
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,3
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,3
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,1
234,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,3
237,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,1
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,1
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,1
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,3
241,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,1
243,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,1
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,2
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,3
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,2
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,3
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,3
253,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,3
254,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,3
256,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,3
257,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,2
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,3
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,3
261,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,3
262,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,3
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,1
264,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,1
266,M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,3
268,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,2
269,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,3
270,F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,3
272,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,3
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,3
274,M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,3
275,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,3
276,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,3
277,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,3
278,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,3
279,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,3
281,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,1
282,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,2
283,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,3
284,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,3
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,2
287,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,3
288,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,2
289,F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,2
290,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,3
291,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,3
293,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,3
294,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,3
295,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,1
296,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,1
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,1
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,3
299,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,2
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,2
301,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,3
303,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,1
304,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,2
305,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,1
306,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,1
307,M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,3
308,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,3
309,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,2
311,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,3
313,F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,3
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,3
315,I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,1
316,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,3
317,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,2
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,3
321,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,1
322,M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,3
323,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,1
324,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,1
