% %  1. Title of Database: Abalone data
% %
% %  2. Sources:
% %
% %     (a) Original owners of database:
% %  	Marine Resources Division
% %  	Marine Research Laboratories - Taroona
% %  	Department of Primary Industry and Fisheries, Tasmania
% %  	GPO Box 619F, Hobart, Tasmania 7001, Australia
% %  	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)
% %
% %     (b) Donor of database:
% %  	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
% %  	Department of Computer Science, University of Tasmania
% %  	GPO Box 252C, Hobart, Tasmania 7001, Australia
% %
% %     (c) Date received: December 1995
% %
% %
% %  3. Past Usage:
% %
% %     Sam Waugh (1995) "Extending and benchmarking Cascade-Correlation", PhD
% %     thesis, Computer Science Department, University of Tasmania.
% %
% %     -- Test set performance (final 1044 examples, first 3133 used for training):
% %  	24.86% Cascade-Correlation (no hidden nodes)
% %  	26.25% Cascade-Correlation (5 hidden nodes)
% %  	21.5%  C4.5
% %  	 0.0%  Linear Discriminate Analysis
% %  	 3.57% k=5 Nearest Neighbour
% %        (Problem encoded as a classification task)
% %
% %     -- Data set samples are highly overlapped.  Further information is required
% %  	to separate completely using affine combinations.  Other restrictions
% %  	to data set examined.
% %
% %     David Clark, Zoltan Schreter, Anthony Adams "A Quantitative Comparison of
% %     Dystal and Backpropagation", submitted to the Australian Conference on
% %     Neural Networks (ACNN'96). Data set treated as a 3-category classification
% %     problem (grouping ring classes 1-8, 9 and 10, and 11 on).
% %
% %     -- Test set performance (3133 training, 1044 testing as above):
% %  	64%    Backprop
% %  	55%    Dystal
% %     -- Previous work (Waugh, 1995) on same data set:
% %  	61.40% Cascade-Correlation (no hidden nodes)
% %  	65.61% Cascade-Correlation (5 hidden nodes)
% %  	59.2%  C4.5
% %  	32.57% Linear Discriminate Analysis
% %  	62.46% k=5 Nearest Neighbour
% %
% %
% %  4. Relevant Information Paragraph:
% %
% %     Predicting the age of abalone from physical measurements.  The age of
% %     abalone is determined by cutting the shell through the cone, staining it,
% %     and counting the number of rings through a microscope -- a boring and
% %     time-consuming task.  Other measurements, which are easier to obtain, are
% %     used to predict the age.  Further information, such as weather patterns
% %     and location (hence food availability) may be required to solve the problem.
% %
% %     From the original data examples with missing values were removed (the
% %     majority having the predicted value missing), and the ranges of the
% %     continuous values have been scaled for use with an ANN (by dividing by 200).
% %
% %     Data comes from an original (non-machine-learning) study:
% %
% %  	Warwick J Nash, Tracy L Sellers, Simon R Talbot, Andrew J Cawthorn and
% %  	Wes B Ford (1994) "The Population Biology of Abalone (_Haliotis_
% %  	species) in Tasmania. I. Blacklip Abalone (_H. rubra_) from the North
% %  	Coast and Islands of Bass Strait", Sea Fisheries Division, Technical
% %  	Report No. 48 (ISSN 1034-3288)
% %
% %
% %  5. Number of Instances: 4177
% %
% %
% %  6. Number of Attributes: 8
% %
% %
% %  7. Attribute information:
% %
% %     Given is the attribute name, attribute type, the measurement unit and a
% %     brief description.  The number of rings is the value to predict: either
% %     as a continuous value or as a classification problem.
% %
% %  	Name		Data Type	Meas.	Description
% %  	----		---------	-----	-----------
% %  	Sex		nominal			M, F, and I (infant)
% %  	Length		continuous	mm	Longest shell measurement
% %  	Diameter	continuous	mm	perpendicular to length
% %  	Height		continuous	mm	with meat in shell
% %  	Whole weight	continuous	grams	whole abalone
% %  	Shucked weight	continuous	grams	weight of meat
% %  	Viscera weight	continuous	grams	gut weight (after bleeding)
% %  	Shell weight	continuous	grams	after being dried
% %  	Rings		integer			+1.5 gives the age in years
% %
% %     Statistics for numeric domains:
% %
% %  		Length	Diam	Height	Whole	Shucked	Viscera	Shell	Rings
% %  	Min	0.075	0.055	0.000	0.002	0.001	0.001	0.002	    1
% %  	Max	0.815	0.650	1.130	2.826	1.488	0.760	1.005	   29
% %  	Mean	0.524	0.408	0.140	0.829	0.359	0.181	0.239	9.934
% %  	SD	0.120	0.099	0.042	0.490	0.222	0.110	0.139	3.224
% %  	Correl	0.557	0.575	0.557	0.540	0.421	0.504	0.628	  1.0
% %
% %
% %  8. Missing Attribute Values: None
% %
% %
% %  9. Class Distribution:
% %
% %  	Class	Examples
% %  	-----	--------
% %  	1	1
% %  	2	1
% %  	3	15
% %  	4	57
% %  	5	115
% %  	6	259
% %  	7	391
% %  	8	568
% %  	9	689
% %  	10	634
% %  	11	487
% %  	12	267
% %  	13	203
% %  	14	126
% %  	15	103
% %  	16	67
% %  	17	58
% %  	18	42
% %  	19	32
% %  	20	26
% %  	21	14
% %  	22	6
% %  	23	9
% %  	24	2
% %  	25	1
% %  	26	1
% %  	27	2
% %  	29	1
% %  	-----	----
% %  	Total	4177s
@RELATION abalone

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE V1 {F, I, M}
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE OD_VALUE REAL
@ATTRIBUTE Class {1, 2, 3}

@DATA
66.0,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,0.49416517055655296,3
67.0,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,0.414165170556553,3
68.0,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,0.6704522813309424,2
69.0,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,0.4512253111849072,1
70.0,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,0.4603028064992615,3
73.0,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,0.49416517055655296,3
74.0,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,0.4524985038898863,3
75.0,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,0.6048951048951049,3
76.0,M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,0.5416666666666666,2
77.0,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,0.6022727272727273,2
78.0,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,0.49416517055655296,3
79.0,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,0.5643406091530442,3
80.0,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,0.5677873891518416,2
81.0,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,0.669603767047781,3
82.0,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,0.5874985038898863,3
86.0,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,0.613212789604172,3
87.0,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,0.5666666666666667,2
88.0,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,0.6354820432357042,2
89.0,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,0.33330121182025385,3
90.0,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,0.4603028064992615,3
92.0,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,0.5417842181756006,3
93.0,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,0.5963114754098361,2
94.0,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,0.5408318372232197,3
95.0,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,0.5408318372232197,3
96.0,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,0.7004504504504505,2
97.0,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,0.5806499044258198,1
98.0,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,0.5806499044258198,1
99.0,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,0.6823570432357043,2
100.0,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,0.507662509906675,1
101.0,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,0.5019694731659281,3
102.0,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,0.5019694731659281,3
103.0,M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,0.6014492753623188,2
104.0,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,0.6604166666666667,3
106.0,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,0.4582677346591171,3
107.0,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,0.7708333333333333,2
108.0,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,0.5486111111111112,2
109.0,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,0.6192618051404661,2
110.0,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,0.6285714285714286,2
111.0,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,0.5677873891518416,2
112.0,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,0.8165117344767765,2
114.0,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,0.6503267973856208,3
116.0,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,0.6101953601953602,3
117.0,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,0.5104166666666666,2
118.0,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,0.6022727272727273,2
119.0,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,0.5666991772070604,1
120.0,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,0.6406903765690377,2
121.0,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,0.4569868342309994,1
122.0,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,0.4582677346591171,3
123.0,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,0.5806499044258198,1
124.0,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,0.5592595615037267,1
125.0,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,0.5065900088341739,1
126.0,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,0.37243990866465637,1
127.0,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,0.4569868342309994,1
129.0,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,0.5967292731206555,3
130.0,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,0.6456803220717044,3
131.0,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,0.6192618051404661,2
132.0,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,0.6073329911270807,1
133.0,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,0.507662509906675,1
134.0,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,0.5819868342309994,1
135.0,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,0.6122280960221856,1
136.0,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,0.6073329911270807,1
137.0,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,0.65625,2
138.0,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,0.6118442227228837,2
139.0,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,0.4231892523364486,2
141.0,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,0.64375,2
143.0,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,0.65,3
144.0,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,0.40377996800156324,2
145.0,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,0.6704522813309424,2
146.0,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,0.40377996800156324,2
147.0,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,0.9040327471194664,2
148.0,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,0.498653500897666,1
149.0,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,0.6097646120087772,1
150.0,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,0.640625,3
152.0,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,0.6304023845007451,2
153.0,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,0.5940303124033406,2
154.0,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,0.45907745125830735,3
155.0,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,0.5789914959875434,2
156.0,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,0.4274985038898863,3
157.0,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,0.669603767047781,3
160.0,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,0.37890037304876484,3
161.0,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,0.5274064171122994,3
162.0,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,0.7166666666666667,3
164.0,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,0.6414519922619794,3
165.0,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,0.5484287364480258,3
166.0,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,0.669603767047781,3
167.0,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,0.6414519922619794,3
168.0,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,0.5967292731206555,3
170.0,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,0.5408318372232197,3
171.0,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,0.7467166979362101,1
172.0,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,0.5806499044258198,1
173.0,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,0.7467166979362101,1
174.0,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,0.6012176034617687,1
175.0,I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,0.46835047059463575,1
176.0,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,0.498653500897666,1
177.0,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,0.498653500897666,1
178.0,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,0.6012176034617687,1
179.0,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,0.5,3
180.0,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,0.6473484848484848,3
181.0,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,0.669603767047781,3
182.0,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,0.6022727272727273,2
183.0,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,0.5940303124033406,2
184.0,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,0.6274985038898864,3
186.0,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,0.4274985038898863,3
187.0,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,0.5667660208643815,2
188.0,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,0.6439393939393939,3
189.0,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,0.6439393939393939,2
190.0,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,0.37890037304876484,3
191.0,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,0.37890037304876484,3
192.0,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,0.5019694731659281,3
193.0,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,0.6653201675643328,1
194.0,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,0.625,2
195.0,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,0.8666666666666667,3
196.0,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,0.4582677346591171,3
197.0,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,0.3830540594454419,3
198.0,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,0.4753623188405797,3
199.0,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,0.4655146618791143,2
200.0,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,0.6192618051404661,2
201.0,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,0.5019694731659281,3
202.0,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,0.4582677346591171,3
203.0,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,0.4582677346591171,3
204.0,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,0.7139832377591531,1
205.0,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,0.6354820432357042,2
206.0,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,0.8181218675811132,2
208.0,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,0.4582677346591171,3
209.0,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,0.5982206004647657,1
210.0,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,0.6111111111111112,2
211.0,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,0.5806499044258198,1
212.0,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,0.8302107728337237,3
214.0,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,0.4582677346591171,3
215.0,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,0.7004504504504505,2
216.0,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,0.5666991772070604,1
217.0,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,0.6177011199452851,1
218.0,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,0.4238479952124476,2
219.0,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,0.6073329911270807,1
220.0,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,0.6192618051404661,2
221.0,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,0.5941363324175825,3
222.0,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,0.6787338548299072,2
