@RELATION titanic

@ATTRIBUTE pclass NUMERIC
@ATTRIBUTE sex {female, male}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE sibsp NUMERIC
@ATTRIBUTE parch NUMERIC
@ATTRIBUTE ticket STRING
@ATTRIBUTE fare NUMERIC
@ATTRIBUTE cabin STRING
@ATTRIBUTE embarked {C, Q, S}
@ATTRIBUTE boat STRING
@ATTRIBUTE body NUMERIC
@ATTRIBUTE home.dest STRING
@ATTRIBUTE survived {0, 1}

@DATA
1.0,male,?,0.0,0.0,'PC 17318',25.925,?,S,?,?,'New York NY',0
1.0,male,24.0,0.0,1.0,'PC 17558',247.5208,'B58 B60',C,?,?,'Montreal PQ',0
1.0,female,50.0,0.0,1.0,'PC 17558',247.5208,'B58 B60',C,6,?,'Montreal PQ',1
1.0,female,32.0,0.0,0.0,'11813',76.2917,D15,C,8,?,?,1
1.0,male,36.0,0.0,0.0,'13050',75.2417,C6,C,A,?,'Winnipeg MN',0
1.0,male,37.0,1.0,1.0,'11751',52.5542,D35,S,5,?,'New York NY',1
1.0,female,47.0,1.0,1.0,'11751',52.5542,D35,S,5,?,'New York NY',1
1.0,male,26.0,0.0,0.0,'111369',30.0,C148,C,5,?,'New York NY',1
1.0,female,42.0,0.0,0.0,'PC 17757',227.525,?,C,4,?,?,1
1.0,female,29.0,0.0,0.0,'PC 17483',221.7792,C97,S,8,?,?,1
1.0,male,25.0,0.0,0.0,'13905',26.0,?,C,?,148.0,'San Francisco CA',0
1.0,male,25.0,1.0,0.0,'11967',91.0792,B49,C,7,?,'Dowagiac MI',1
1.0,female,19.0,1.0,0.0,'11967',91.0792,B49,C,7,?,'Dowagiac MI',1
1.0,female,35.0,0.0,0.0,'PC 17760',135.6333,C99,S,8,?,?,1
1.0,male,28.0,0.0,0.0,'110564',26.55,C52,S,D,?,'Stockholm Sweden / Washington',1
1.0,male,45.0,0.0,0.0,'113784',35.5,T,S,?,?,'Trenton NJ',0
1.0,male,40.0,0.0,0.0,'112277',31.0,A31,C,7,?,'Glen Ridge NJ',1
1.0,female,30.0,0.0,0.0,'36928',164.8667,C7,S,8,?,'Youngstown OH',1
1.0,female,58.0,0.0,0.0,'113783',26.55,C103,S,8,?,'Birkdale England Cleveland',1
1.0,male,42.0,0.0,0.0,'110489',26.55,D22,S,?,?,'London / Winnipeg MB',0
1.0,female,45.0,0.0,0.0,'PC 17608',262.375,?,C,4,?,'Cooperstown NY',1
1.0,female,22.0,0.0,1.0,'113505',55.0,E33,S,6,?,'St Leonards-on-Sea England Ohio',1
1.0,male,?,0.0,0.0,'111427',26.55,?,S,9,?,'Los Angeles CA',1
1.0,male,41.0,0.0,0.0,'113054',30.5,A21,S,?,?,'Pomeroy WA',0
1.0,male,48.0,0.0,0.0,'PC 17591',50.4958,B10,C,?,208.0,'Omaha NE',0
1.0,male,?,0.0,0.0,'112379',39.6,?,C,?,?,'Philadelphia PA',0
1.0,female,44.0,0.0,0.0,'PC 17610',27.7208,B4,C,6,?,'Denver CO',1
1.0,female,59.0,2.0,0.0,'11769',51.4792,C101,S,D,?,'Belmont MA',1
1.0,female,60.0,0.0,0.0,'11813',76.2917,D15,C,8,?,'Philadelphia PA',1
1.0,female,41.0,0.0,0.0,'16966',134.5,E40,C,3,?,?,1
1.0,male,45.0,0.0,0.0,'113050',26.55,B38,S,?,?,'Washington DC',0
1.0,male,?,0.0,0.0,'113798',31.0,?,S,?,?,?,0
1.0,male,42.0,0.0,0.0,'PC 17476',26.2875,E24,S,5,?,'New York NY',1
1.0,female,53.0,0.0,0.0,'PC 17606',27.4458,?,C,6,?,'Washington DC',1
1.0,male,36.0,0.0,1.0,'PC 17755',512.3292,'B51 B53 B55',C,3,?,'Austria-Hungary / Germantown Philadelphia',1
1.0,female,58.0,0.0,1.0,'PC 17755',512.3292,'B51 B53 B55',C,3,?,'Germantown Philadelphia',1
1.0,male,33.0,0.0,0.0,'695',5.0,'B51 B53 B55',S,?,?,'New York NY',0
1.0,male,28.0,0.0,0.0,'113059',47.1,?,S,?,?,'Montevideo Uruguay',0
1.0,male,17.0,0.0,0.0,'113059',47.1,?,S,?,?,'Montevideo Uruguay',0
1.0,male,11.0,1.0,2.0,'113760',120.0,'B96 B98',S,4,?,'Bryn Mawr PA',1
1.0,female,14.0,1.0,2.0,'113760',120.0,'B96 B98',S,4,?,'Bryn Mawr PA',1
1.0,male,36.0,1.0,2.0,'113760',120.0,'B96 B98',S,C,?,'Bryn Mawr PA',1
1.0,female,36.0,1.0,2.0,'113760',120.0,'B96 B98',S,4,?,'Bryn Mawr PA',1
1.0,male,49.0,0.0,0.0,'19924',26.0,?,S,?,?,'Ascot Berkshire / Rochester',0
1.0,female,?,0.0,0.0,'17770',27.7208,?,C,5,?,'New York NY',1
1.0,male,36.0,1.0,0.0,'19877',78.85,C46,S,?,172.0,'Little Onn Hall Staffs',0
1.0,female,76.0,1.0,0.0,'19877',78.85,C46,S,6,?,'Little Onn Hall Staffs',1
1.0,male,46.0,1.0,0.0,'W.E.P. 5734',61.175,E31,S,?,?,'Amenia ND',0
1.0,female,47.0,1.0,0.0,'W.E.P. 5734',61.175,E31,S,4,?,'Amenia ND',1
1.0,male,27.0,1.0,0.0,'113806',53.1,E8,S,5,?,'New York NY / Ithaca',1
1.0,female,33.0,1.0,0.0,'113806',53.1,E8,S,5,?,'New York NY / Ithaca',1
1.0,female,36.0,0.0,0.0,'PC 17608',262.375,B61,C,4,?,?,1
1.0,female,30.0,0.0,0.0,'110152',86.5,B77,S,8,?,'London England',1
1.0,male,45.0,0.0,0.0,'PC 17594',29.7,A9,C,7,?,'Paris France',1
1.0,female,?,0.0,1.0,'113505',55.0,E33,S,6,?,'St Leonards-on-Sea England Ohio',1
1.0,male,?,0.0,0.0,'112051',0.0,?,S,?,?,'Liverpool England / Belfast',0
1.0,male,27.0,1.0,0.0,'13508',136.7792,C89,C,?,?,'Los Angeles CA',0
1.0,female,26.0,1.0,0.0,'13508',136.7792,C89,C,4,?,'Los Angeles CA',1
1.0,female,22.0,0.0,0.0,'113781',151.55,?,S,11,?,?,1
1.0,male,?,0.0,0.0,'110465',52.0,A14,S,?,?,'Stoughton MA',0
1.0,male,47.0,0.0,0.0,'5727',25.5875,E58,S,?,?,'Victoria BC',0
1.0,female,39.0,1.0,1.0,'PC 17756',83.1583,E49,C,14,?,'Lakewood NJ',1
1.0,male,37.0,1.0,1.0,'PC 17756',83.1583,E52,C,?,?,'Lakewood NJ',0
1.0,female,64.0,0.0,2.0,'PC 17756',83.1583,E45,C,14,?,'Lakewood NJ',1
1.0,female,55.0,2.0,0.0,'11770',25.7,C101,S,2,?,'New York NY',1
1.0,male,?,0.0,0.0,'113791',26.55,?,S,?,?,'Roachdale IN',0
1.0,male,70.0,1.0,1.0,'WE/P 5735',71.0,B22,S,?,269.0,'Milwaukee WI',0
1.0,female,36.0,0.0,2.0,'WE/P 5735',71.0,B22,S,7,?,'Milwaukee WI',1
1.0,female,64.0,1.0,1.0,'112901',26.55,B26,S,7,?,'Milwaukee WI',1
1.0,male,39.0,1.0,0.0,'PC 17599',71.2833,C85,C,?,?,'New York NY',0
1.0,female,38.0,1.0,0.0,'PC 17599',71.2833,C85,C,4,?,'New York NY',1
1.0,male,51.0,0.0,0.0,'113055',26.55,E17,S,'5 9',?,'Lima Peru',1
1.0,male,27.0,0.0,0.0,'113804',30.5,?,S,3,?,'Philadelphia PA',1
1.0,female,33.0,0.0,0.0,'113781',151.55,?,S,8,?,?,1
1.0,male,31.0,1.0,0.0,'F.C. 12750',52.0,B71,S,?,?,'Montreal PQ',0
1.0,female,27.0,1.0,2.0,'F.C. 12750',52.0,B71,S,3,?,'Montreal PQ',1
1.0,male,31.0,1.0,0.0,'17474',57.0,B20,S,3,?,'Calgary AB',1
1.0,female,17.0,1.0,0.0,'17474',57.0,B20,S,3,?,'Calgary AB',1
1.0,male,53.0,1.0,1.0,'33638',81.8583,A34,S,13,?,'San Francisco CA',1
1.0,male,4.0,0.0,2.0,'33638',81.8583,A34,S,5,?,'San Francisco CA',1
1.0,female,54.0,1.0,1.0,'33638',81.8583,A34,S,5,?,'San Francisco CA',1
1.0,male,50.0,1.0,0.0,'PC 17761',106.425,C86,C,?,62.0,'Deephaven MN / Cedar Rapids',0
1.0,female,27.0,1.0,1.0,'PC 17558',247.5208,'B58 B60',C,6,?,'Montreal PQ',1
1.0,female,48.0,1.0,0.0,'PC 17761',106.425,C86,C,2,?,'Deephaven MN / Cedar Rapids',1
1.0,female,48.0,1.0,0.0,'11755',39.6,A16,C,1,?,'London / Paris',1
1.0,male,49.0,1.0,0.0,'PC 17485',56.9292,A20,C,1,?,'London / Paris',1
1.0,male,39.0,0.0,0.0,'PC 17580',29.7,A18,C,?,133.0,'Philadelphia PA',0
1.0,female,23.0,0.0,1.0,'11767',83.1583,C54,C,7,?,'Mt Airy Philadelphia',1
1.0,female,38.0,0.0,0.0,'PC 17757',227.525,C45,C,4,?,'New York NY',1
1.0,female,54.0,1.0,0.0,'36947',78.2667,D20,C,4,?,'Brookline MA',1
1.0,female,36.0,0.0,0.0,'PC 17531',31.6792,A29,C,?,?,'New York NY',0
1.0,male,?,0.0,0.0,'PC 17483',221.7792,C95,S,?,?,?,0
1.0,female,?,0.0,0.0,'PC 17598',31.6833,?,S,7,?,'New York NY',1
1.0,female,?,0.0,0.0,'17421',110.8833,?,C,4,?,?,1
1.0,male,36.0,0.0,0.0,'PC 17474',26.3875,E25,S,5,?,'Brooklyn NY',1
1.0,male,30.0,0.0,0.0,'113051',27.75,C111,C,?,?,'New York NY',0
1.0,female,24.0,3.0,2.0,'19950',263.0,'C23 C25 C27',S,10,?,'Winnipeg MB',1
1.0,female,28.0,3.0,2.0,'19950',263.0,'C23 C25 C27',S,10,?,'Winnipeg MB',1
1.0,female,23.0,3.0,2.0,'19950',263.0,'C23 C25 C27',S,10,?,'Winnipeg MB',1
1.0,male,19.0,3.0,2.0,'19950',263.0,'C23 C25 C27',S,?,?,'Winnipeg MB',0
1.0,male,64.0,1.0,4.0,'19950',263.0,'C23 C25 C27',S,?,?,'Winnipeg MB',0
1.0,female,60.0,1.0,4.0,'19950',263.0,'C23 C25 C27',S,10,?,'Winnipeg MB',1
1.0,female,30.0,0.0,0.0,'PC 17485',56.9292,E36,C,1,?,?,1
1.0,male,?,0.0,0.0,'113778',26.55,D34,S,?,?,'Westcliff-on-Sea Essex',0
1.0,male,50.0,2.0,0.0,'PC 17611',133.65,?,S,5,?,'New York NY',1
1.0,male,43.0,1.0,0.0,'17765',27.7208,D40,C,5,?,'New York NY',1
1.0,female,?,1.0,0.0,'PC 17611',133.65,?,S,5,?,'New York NY',1
1.0,female,22.0,0.0,2.0,'13568',49.5,B39,C,5,?,'Zurich Switzerland',1
1.0,male,60.0,1.0,1.0,'13567',79.2,B41,C,5,?,'Zurich Switzerland',1
1.0,female,48.0,1.0,1.0,'13567',79.2,B41,C,5,?,'Zurich Switzerland',1
1.0,male,?,0.0,0.0,'112058',0.0,B102,S,?,?,?,0
1.0,male,37.0,1.0,0.0,'113803',53.1,C123,S,?,?,'Scituate MA',0
1.0,female,35.0,1.0,0.0,'113803',53.1,C123,S,D,?,'Scituate MA',1
1.0,male,47.0,0.0,0.0,'111320',38.5,E63,S,?,275.0,'St Anne\'s-on-Sea Lancashire',0
1.0,female,35.0,0.0,0.0,'113503',211.5,C130,C,4,?,?,1
1.0,female,22.0,0.0,1.0,'112378',59.4,?,C,7,?,'New York NY',1
1.0,female,45.0,0.0,1.0,'112378',59.4,?,C,7,?,'New York NY',1
1.0,male,24.0,0.0,0.0,'PC 17593',79.2,B86,C,?,?,?,0
1.0,male,49.0,1.0,0.0,'17453',89.1042,C92,C,5,?,'Paris France / New York',1
1.0,female,?,1.0,0.0,'17453',89.1042,C92,C,5,?,'Paris France / New York',1
1.0,male,71.0,0.0,0.0,'PC 17754',34.6542,A5,C,?,?,'New York NY',0
1.0,male,53.0,0.0,0.0,'113780',28.5,C51,C,B,?,'Washington DC',1
1.0,female,19.0,0.0,0.0,'112053',30.0,B42,S,3,?,'Greenwich CT',1
1.0,male,38.0,0.0,1.0,'PC 17582',153.4625,C91,S,?,147.0,'Winnipeg MB',0
1.0,female,58.0,0.0,1.0,'PC 17582',153.4625,C125,S,3,?,'Greenwich CT',1
1.0,male,23.0,0.0,1.0,'PC 17759',63.3583,'D10 D12',C,7,?,'New York NY',1
1.0,female,45.0,0.0,1.0,'PC 17759',63.3583,'D10 D12',C,7,?,'New York NY',1
1.0,male,46.0,0.0,0.0,'PC 17593',79.2,'B82 B84',C,?,?,'New York NY',0
1.0,male,25.0,1.0,0.0,'11765',55.4417,E50,C,5,?,'Brooklyn NY',1
1.0,female,25.0,1.0,0.0,'11765',55.4417,E50,C,5,?,'Brooklyn NY',1
1.0,male,48.0,1.0,0.0,'PC 17572',76.7292,D33,C,3,?,'New York NY',1
1.0,female,49.0,1.0,0.0,'PC 17572',76.7292,D33,C,3,?,'New York NY',1
1.0,male,?,0.0,0.0,'113796',42.4,?,S,?,?,?,0
1.0,male,45.0,1.0,0.0,'36973',83.475,C83,S,?,?,'New York NY',0
1.0,female,35.0,1.0,0.0,'36973',83.475,C83,S,D,?,'New York NY',1
1.0,male,40.0,0.0,0.0,'112059',0.0,B94,S,?,110.0,?,0
1.0,male,27.0,0.0,0.0,'PC 17572',76.7292,D49,C,3,?,?,1
1.0,male,?,0.0,0.0,'16988',30.0,D45,S,3,?,'Kingston Surrey',1
1.0,female,24.0,0.0,0.0,'11767',83.1583,C54,C,7,?,'New York NY',1
1.0,male,55.0,1.0,1.0,'12749',93.5,B69,S,?,307.0,'Montreal PQ',0
1.0,female,52.0,1.0,1.0,'12749',93.5,B69,S,3,?,'Montreal PQ',1
1.0,male,42.0,0.0,0.0,'113038',42.5,B11,S,?,?,'London / Middlesex',0
1.0,male,?,0.0,0.0,'17463',51.8625,E46,S,?,?,'Brighton MA',0
1.0,male,55.0,0.0,0.0,'680',50.0,C39,S,?,?,'London / Birmingham',0
1.0,female,16.0,0.0,1.0,'111361',57.9792,B18,C,4,?,'Chicago IL',1
1.0,female,44.0,0.0,1.0,'111361',57.9792,B18,C,4,?,'Chicago IL',1
1.0,female,51.0,1.0,0.0,'13502',77.9583,D11,S,10,?,'Hudson NY',1
1.0,male,42.0,1.0,0.0,'113789',52.0,?,S,?,38.0,'New York NY',0
1.0,female,35.0,1.0,0.0,'113789',52.0,?,S,8,?,'New York NY',1
1.0,male,35.0,0.0,0.0,'111426',26.55,?,C,15,?,'Indianapolis IN',1
1.0,male,38.0,1.0,0.0,'19943',90.0,C93,S,D,?,'New York NY / Stamford CT',1
1.0,male,?,0.0,0.0,'PC 17600',30.6958,?,C,14,?,'New York NY',0
1.0,female,35.0,1.0,0.0,'19943',90.0,C93,S,D,?,'New York NY / Stamford CT',1
1.0,female,38.0,0.0,0.0,'113572',80.0,B28,?,6,?,?,1
1.0,female,50.0,0.0,0.0,'PC 17595',28.7125,C49,C,?,?,'Paris France New York',0
1.0,male,49.0,0.0,0.0,'112058',0.0,'B52 B54 B56',S,C,?,'Liverpool',1
1.0,male,46.0,0.0,0.0,'694',26.0,?,S,?,80.0,'Bennington VT',0
1.0,male,50.0,0.0,0.0,'113044',26.0,E60,S,?,?,'London',0
1.0,male,32.5,0.0,0.0,'113503',211.5,C132,C,?,45.0,?,0
1.0,male,58.0,0.0,0.0,'11771',29.7,B37,C,?,258.0,'Buffalo NY',0
1.0,male,41.0,1.0,0.0,'17464',51.8625,D21,S,?,?,'Southington / Noank CT',0
1.0,female,?,1.0,0.0,'17464',51.8625,D21,S,8,?,'Southington / Noank CT',1
1.0,male,42.0,1.0,0.0,'11753',52.5542,D19,S,5,?,'Boston MA',1
1.0,female,45.0,1.0,0.0,'11753',52.5542,D19,S,5,?,'Boston MA',1
1.0,male,?,0.0,0.0,'113028',26.55,C124,S,?,?,'Portland OR',0
1.0,female,39.0,0.0,0.0,'24160',211.3375,?,S,2,?,?,1
1.0,female,49.0,0.0,0.0,'17465',25.9292,D17,S,8,?,'New York NY',1
1.0,female,30.0,0.0,0.0,'PC 17761',106.425,?,C,2,?,?,1
1.0,male,35.0,0.0,0.0,'PC 17755',512.3292,B101,C,3,?,?,1
1.0,male,?,0.0,0.0,'PC 17612',27.7208,?,C,?,?,'Chicago IL',0
1.0,male,42.0,0.0,0.0,'17475',26.55,?,S,?,?,'Stockholm Sweden',0
1.0,female,55.0,0.0,0.0,'112377',27.7208,?,C,6,?,'Stockholm Sweden',1
1.0,female,16.0,0.0,1.0,'PC 17592',39.4,D28,S,9,?,'Paris France',1
1.0,female,51.0,0.0,1.0,'PC 17592',39.4,D28,S,9,?,'Paris France',1
1.0,male,29.0,0.0,0.0,'113501',30.0,D6,S,?,126.0,'Springfield MA',0
1.0,female,21.0,0.0,0.0,'13502',77.9583,D9,S,10,?,'Hudson NY',1
1.0,male,30.0,0.0,0.0,'113801',45.5,?,S,?,?,'London / New York NY',0
1.0,female,58.0,0.0,0.0,'PC 17569',146.5208,B80,C,?,?,?,1
1.0,female,15.0,0.0,1.0,'24160',211.3375,B5,S,2,?,'St Louis MO',1
1.0,male,30.0,0.0,0.0,'110469',26.0,C106,S,?,?,'Brockton MA',0
1.0,female,16.0,0.0,0.0,'110152',86.5,B79,S,8,?,?,1
1.0,male,?,0.0,0.0,'11774',29.7,C47,C,7,?,'Paris France',1
1.0,male,19.0,1.0,0.0,'113773',53.1,D30,S,?,?,'New York NY',0
1.0,female,18.0,1.0,0.0,'113773',53.1,D30,S,10,?,'New York NY',1
1.0,female,24.0,0.0,0.0,'PC 17482',49.5042,C90,C,6,?,'Belgium Montreal PQ',1
1.0,male,46.0,0.0,0.0,'13050',75.2417,C6,C,?,292.0,'Vancouver BC',0
1.0,male,54.0,0.0,0.0,'17463',51.8625,E46,S,?,175.0,'Dorchester MA',0
1.0,male,36.0,0.0,0.0,'PC 17473',26.2875,E25,S,7,?,'Philadelphia PA',1
1.0,male,28.0,1.0,0.0,'PC 17604',82.1708,?,C,?,?,'New York NY',0
1.0,female,?,1.0,0.0,'PC 17604',82.1708,?,C,6,?,'New York NY',1
1.0,male,65.0,0.0,0.0,'13509',26.55,E38,S,?,249.0,'East Bridgewater MA',0
1.0,male,44.0,2.0,0.0,'19928',90.0,C78,Q,?,230.0,'Fond du Lac WI',0
1.0,female,33.0,1.0,0.0,'19928',90.0,C78,Q,14,?,'Green Bay WI',1
1.0,female,37.0,1.0,0.0,'19928',90.0,C78,Q,14,?,'Fond du Lac WI',1
1.0,male,30.0,1.0,0.0,'13236',57.75,C78,C,11,?,'New York NY',1
1.0,male,55.0,0.0,0.0,'113787',30.5,C30,S,?,?,'Montreal PQ',0
1.0,male,47.0,0.0,0.0,'113796',42.4,?,S,?,?,'Washington DC',0
1.0,male,37.0,0.0,1.0,'PC 17596',29.7,C118,C,?,?,'Brooklyn NY',0
1.0,female,31.0,1.0,0.0,'35273',113.275,D36,C,6,?,'Lexington MA',1
1.0,female,23.0,1.0,0.0,'35273',113.275,D36,C,6,?,'Lexington MA',1
1.0,male,58.0,0.0,2.0,'35273',113.275,D48,C,?,122.0,'Lexington MA',0
1.0,female,19.0,0.0,2.0,'11752',26.2833,D47,S,5,?,'New York NY',1
1.0,male,64.0,0.0,0.0,'693',26.0,?,S,?,263.0,'Isle of Wight England',0
1.0,female,39.0,0.0,0.0,'PC 17758',108.9,C105,C,8,?,?,1
1.0,male,?,0.0,0.0,'F.C. 12998',25.7417,?,C,7,?,'Paris France',1
1.0,female,22.0,0.0,1.0,'113509',61.9792,B36,C,5,?,'Providence RI',1
1.0,male,65.0,0.0,1.0,'113509',61.9792,B30,C,?,234.0,'Providence RI',0
1.0,male,28.5,0.0,0.0,'PC 17562',27.7208,D43,C,?,189.0,'?Havana Cuba',0
1.0,male,?,0.0,0.0,'112052',0.0,?,S,?,?,'Belfast',0
1.0,male,45.5,0.0,0.0,'113043',28.5,C124,S,?,166.0,'Surbiton Hill Surrey',0
1.0,male,23.0,0.0,0.0,'12749',93.5,B24,S,?,?,'Montreal PQ',0
1.0,male,29.0,1.0,0.0,'113776',66.6,C2,S,?,?,'Isleworth England',0
1.0,female,22.0,1.0,0.0,'113776',66.6,C2,S,8,?,'Isleworth England',1
1.0,male,18.0,1.0,0.0,'PC 17758',108.9,C65,C,?,?,'Madrid Spain',0
1.0,female,17.0,1.0,0.0,'PC 17758',108.9,C65,C,8,?,'Madrid Spain',1
1.0,female,30.0,0.0,0.0,'12749',93.5,B73,S,3,?,?,1
1.0,male,52.0,0.0,0.0,'113786',30.5,C104,S,6,?,'Toronto ON',1
1.0,male,47.0,0.0,0.0,'110465',52.0,C110,S,?,207.0,'Worcester MA',0
1.0,female,56.0,0.0,1.0,'11767',83.1583,C50,C,7,?,'Mt Airy Philadelphia',1
1.0,male,38.0,0.0,0.0,'19972',0.0,?,S,?,?,'Rotterdam Netherlands',0
1.0,male,?,0.0,0.0,'PC 17607',39.6,?,S,A,?,'Paris / New York NY',1
1.0,male,22.0,0.0,0.0,'PC 17760',135.6333,?,C,?,232.0,?,0
1.0,male,?,0.0,0.0,'PC 17757',227.525,?,C,?,?,?,0
1.0,female,43.0,0.0,1.0,'24160',211.3375,B3,S,2,?,'St Louis MO',1
1.0,male,31.0,0.0,0.0,'PC 17590',50.4958,A24,S,?,?,'Trenton NJ',0
1.0,male,45.0,0.0,0.0,'111428',26.55,?,S,9,?,'New York NY',1
1.0,male,?,0.0,0.0,'113767',50.0,A32,S,?,?,'Seattle WA',0
1.0,female,33.0,0.0,0.0,'PC 17613',27.7208,A11,C,11,?,'Paris France',1
1.0,male,46.0,0.0,0.0,'PC 17585',79.2,?,C,?,16.0,'New York NY',0
1.0,male,36.0,0.0,0.0,'13049',40.125,A10,C,?,?,'Winnipeg MB',0
1.0,female,33.0,0.0,0.0,'110152',86.5,B77,S,8,?,'London Vancouver BC',1
1.0,male,55.0,1.0,0.0,'PC 17603',59.4,?,C,?,?,'New York NY',0
1.0,female,54.0,1.0,0.0,'PC 17603',59.4,?,C,6,?,'New York NY',1
1.0,male,33.0,0.0,0.0,'113790',26.55,?,S,?,109.0,'London',0
1.0,male,13.0,2.0,2.0,'PC 17608',262.375,'B57 B59 B63 B66',C,4,?,'Haverford PA / Cooperstown',1
1.0,female,18.0,2.0,2.0,'PC 17608',262.375,'B57 B59 B63 B66',C,4,?,'Haverford PA / Cooperstown',1
1.0,female,21.0,2.0,2.0,'PC 17608',262.375,'B57 B59 B63 B66',C,4,?,'Haverford PA / Cooperstown',1
1.0,male,61.0,1.0,3.0,'PC 17608',262.375,'B57 B59 B63 B66',C,?,?,'Haverford PA / Cooperstown',0
1.0,female,48.0,1.0,3.0,'PC 17608',262.375,'B57 B59 B63 B66',C,4,?,'Haverford PA / Cooperstown',1
1.0,male,?,0.0,0.0,'19988',30.5,C106,S,3,?,'Manchester England',1
1.0,female,24.0,0.0,0.0,'PC 17477',69.3,B35,C,9,?,?,1
1.0,male,?,0.0,0.0,'111163',26.0,?,S,1,?,'New York NY',1
1.0,female,35.0,1.0,0.0,'13236',57.75,C28,C,11,?,'New York NY',1
1.0,female,30.0,0.0,0.0,'113798',31.0,?,C,4,?,?,1
1.0,male,34.0,0.0,0.0,'113794',26.55,?,S,7,?,'New York NY',1
1.0,female,40.0,0.0,0.0,'PC 17582',153.4625,C125,S,3,?,'New York NY / Greenwich CT',1
1.0,male,35.0,0.0,0.0,'PC 17475',26.2875,E24,S,5,?,'St Louis MO',1
1.0,male,50.0,1.0,0.0,'13507',55.9,E44,S,?,?,'Duluth MN',0
1.0,female,39.0,1.0,0.0,'13507',55.9,E44,S,11,?,'Duluth MN',1
1.0,male,56.0,0.0,0.0,'13213',35.5,A26,C,3,?,'Basel Switzerland',1
1.0,male,28.0,0.0,0.0,'113788',35.5,A6,S,7,?,'New Britain CT',1
1.0,male,56.0,0.0,0.0,'113792',26.55,?,S,?,?,'New York NY',0
1.0,male,56.0,0.0,0.0,'17764',30.6958,A7,C,?,?,'St James Long Island',0
1.0,male,24.0,1.0,0.0,'13695',60.0,C31,S,?,?,'Huntington WV',0
1.0,male,?,0.0,0.0,'113056',26.0,A19,S,?,?,'Streatham Surrey',0
1.0,female,18.0,1.0,0.0,'13695',60.0,C31,S,6,?,'Huntington WV',1
1.0,male,24.0,1.0,0.0,'21228',82.2667,B45,S,7,?,'Minneapolis MN',1
1.0,female,23.0,1.0,0.0,'21228',82.2667,B45,S,7,?,'Minneapolis MN',1
1.0,male,6.0,0.0,2.0,'16966',134.5,E34,C,3,?,'Tuxedo Park NY',1
1.0,male,45.0,1.0,1.0,'16966',134.5,E34,C,3,?,'Tuxedo Park NY',1
1.0,female,40.0,1.0,1.0,'16966',134.5,E34,C,3,?,'Tuxedo Park NY',1
1.0,male,57.0,1.0,0.0,'PC 17569',146.5208,B78,C,?,?,'Paris France',0
1.0,female,?,1.0,0.0,'PC 17569',146.5208,B78,C,6,?,'Paris France',1
1.0,male,32.0,0.0,0.0,'13214',30.5,B50,C,3,?,'Basel Switzerland',1
1.0,male,62.0,0.0,0.0,'113514',26.55,C87,S,?,?,'Wimbledon Park London / Hayling Island',0
1.0,male,54.0,1.0,0.0,'11778',55.4417,C116,C,1,?,'Newark NJ',1
1.0,female,43.0,1.0,0.0,'11778',55.4417,C116,C,5,?,'Newark NJ',1
1.0,female,52.0,1.0,0.0,'36947',78.2667,D20,C,4,?,'Haverford PA',1
1.0,male,?,0.0,0.0,'PC 17605',27.7208,?,C,?,?,'Gallipolis Ohio / ? Paris / New York',0
1.0,female,62.0,0.0,0.0,'113572',80.0,B28,?,6,?,'Cincinatti OH',1
